"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Antigua and Barbuda","ATG","Final consumption expenditure (constant 2015 US$)","NE.CON.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1107565814.81481","","","","","","",
"Australia","AUS","Final consumption expenditure (constant 2015 US$)","NE.CON.TOTL.KD","143663596617.189","147180311320.078","151197986911.384","159093499318.396","169259470966.622","178870697581.97","186312118140.738","195922576411.165","207174987777.522","217349411219.878","231257222632.813","240835410416.562","249845022958.857","260790864701.781","275113582371.993","290801648966.618","298052519985.007","310492792599.052","317324147290.639","323437867826.119","329582322158.434","341311875720.661","356969208518.45","365673788127.153","372753318228.185","381890476027.347","398689569377.571","408162493907.159","421810604736.835","439636975246.282","456841754714.733","463846755358.439","475043077545.572","484847927080.982","493997378398.878","515644728199.885","534103446579.22","548384673623.705","574609054118.422","605054721608.48","628901842917.98","647721683410.131","667633342034.859","693951460609.925","729402895259.547","759872381442.152","784460955600.306","821716464124.166","857552839579.151","867941631254.434","894010806075.133","927903268880.28","956587121466.75","971150331097.199","991332447134.079","1015745070305.35","1047247212061.62","1078932219909.07","1110515806226.96","1138361394504.74","1135569997407.17","1166208519472.37",
"Austria","AUT","Final consumption expenditure (constant 2015 US$)","NE.CON.TOTL.KD","","","","","","","","","","","103221763215.749","109124001216.569","115150074170.137","120565101760.912","125073069278.215","129391341157.582","135167135740.847","142997920172.048","141403299398.306","147741244220.787","151277387178.166","153431357780.587","156874079752.575","164009888608.859","161613329669.98","164380554675.359","167779504144.786","170840106548.704","174666175210.018","180080290781.198","186750123085.138","192347656670.318","198829710574.598","200915869968.17","205500139796.474","208212975370.441","213336639328.574","215508377670.426","221832024200.285","227689597650.18","233011542656.996","234998968717.457","236671836778.297","240350559908.711","245439817872.105","250966057487.473","256997669129.391","260035138189.539","264371414134.582","267770939441.199","269701491870.887","272376871399.18","273450502642.922","273854443001.012","275083561381.246","276717174876.016","281211900356.969","285813172360.808","289109512968.598","291269124334.555","273920425732.617","287116528248.555",
"Azerbaijan","AZE","Final consumption expenditure (constant 2015 US$)","NE.CON.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36673531134.1011","","","","","","",
"Burundi","BDI","Final consumption expenditure (constant 2015 US$)","NE.CON.TOTL.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1502872878.51452","1618778558.32497","1605844634.84629","1441940095.82079","1479033115.07939","1583361403.42724","1586318352.04966","1702026717.07316","1929498533.76954","2142954648.26814","2202833456.80282","2392275599.56638","2358545463.34255","2426402873.71301","2603357598.66233","2716639193.43391","3013268025.34452","3113663590.91128","3036966195.58657","2997348041.93964","3060046077.53881","3190123633.83615","3329692034.11906","3499482224.30684","3624276793.00462",
"Belgium","BEL","Final consumption expenditure (constant 2015 US$)","NE.CON.TOTL.KD","","","","","","","","","","","136551659153.619","143517324208.126","151999580213.802","163114794631.911","167977751908.082","171214571587.341","179197276071.09","183721544551.782","190244821298","198471046109.036","198485788206.813","200971488739.864","203916086023.503","204093527091.561","204755870782.852","210429383810.782","215232520589.942","219584406271.844","224171861511.656","230171192985.535","235069167598.047","242587453285.551","246934750022.137","246023072156.013","251204034688.357","255113849382.656","259797325196.562","263542596910.156","270751435014.414","276681226658.359","284111301633.008","287753721501.64","291743418905.039","294845062190.781","299188250401.133","302519119050.078","306935646062.5","313201620112.304","319146723034.14","321992401696.015","328962583577.5","331415716578.672","335981140221.015","339950311635.937","342534921914.648","346539153936.914","350773831786.562","355536083015.703","362106951207.851","368827936494.101","347656211515.195","366122944066.758",
"Benin","BEN","Final consumption expenditure (constant 2015 US$)","NE.CON.TOTL.KD","1650649560.30136","1683116148.65795","1677674473.78754","1800103985.98595","1900949021.53488","2020099391.59754","2180041030.47692","2266357148.83881","2337644102.80778","2350048120.56491","2421840149.28294","2442803681.8759","2558676024.27671","2663614014.35996","2646195406.88798","2585303068.45347","2544457207.51668","2755115557.01311","2820831597.19394","2977021701.71166","3181522112.49947","3471518639.2682","3015881929.57656","3089083212.71706","3309500875.36594","3693642720.45285","3630256456.90652","3556704283.5507","3800764319.39297","3546978827.81358","3614592604.29399","3868859549.98021","4053954503.06286","4235663682.64537","4070352232.89987","4234901134.47262","4454496811.52538","4670986963.25402","4923689651.66463","5161994404.90404","5540722277.95535","5812164013.88108","6057746675.21109","6287716591.34087","6555335919.98388","6706221883.6825","7032542318.40718","7299395528.75189","7697238175.47658","7977948421.51249","8133082245.50982","8433719678.27123","8624706059.2669","9015619871.00071","9277893396.92909","9860273434.86625","9944552890.38113","10334890657.3561","10729190849.6484","11136840025.4384","11660446885.4791","12595832534.1174",
"Burkina Faso","BFA","Final consumption expenditure (constant 2015 US$)","NE.CON.TOTL.KD","","","","","","1495940419.37939","1504317076.77639","1701787988.2959","1770482217.11444","1809096508.74636","1733484852.042","1769271662.75634","1724652764.99095","1722642131.57487","1826913206.38614","2007625094.023","2121218649.93538","2310279901.42956","2298462458.37151","2374974092.19067","2498172163.54142","2616164815.75043","2805380553.19271","2797902802.83695","2657743591.84705","2772460290.95838","3126923825.25583","3049686322.51358","3209713180.4056","3157583708.34001","3115916451.07835","3285862147.68754","3289500946.1078","3438227513.42709","3030475864.0602","3409691184.22386","3905346985.52143","3986916153.38465","4448774549.11667","4867730158.08043","4983203690.48853","5129022077.70922","5411035845.0281","5649613073.79404","6044448128.31005","6406886629.78084","6769250624.94535","6935201663.12676","7317568446.29428","7454188749.4784","7844051813.92723","8316137373.46538","9066440745.67537","9635767746.64642","9841695670.60327","10349257296.498","10909620022.7431","11500449659.7412","11904727985.4238","12551797168.5946","","",
"Bangladesh","BGD","Final consumption expenditure (constant 2015 US$)","NE.CON.TOTL.KD","34118985535.5089","37172385993.2086","36524119649.2777","38317899301.7726","42377123204.5883","42581240431.2061","43365443359.2825","42087404469.269","42690945788.4726","44797215659.4534","49245383681.0148","48502168614.4913","46445499131.0098","40748180691.0936","39447604792.2364","37740149276.5939","40843971929.9168","37273583329.7409","41703561739.5216","43445656641.5479","44792729260.1354","43880500556.6323","42567919887.0786","43680337660.4854","46745746778.8022","47370612444.9157","48847858004.8748","50166643212.1359","52029931342.9282","52492747273.7476","56305771169.362","56192851648.0502","58604243193.2806","60856652182.1149","63073968181.665","65385196984.2708","65295826938.4701","66119080781.8491","67287747089.4859","69925898496.6588","73352876909.2095","76449706114.3215","77620556602.2704","80982191630.5378","86014854365.423","91980760006.9002","98532571932.8559","105558792953.991","109704522597.653","112495176571.148","117845533486.7","125515801583.68","130589261679.703","137345164424.491","143218008397.054","151852227932.064","157013887296.83","166975497147.106","182131867285.304","192196115389.332","197786442196.807","213451885177.534",
"Bulgaria","BGR","Final consumption expenditure (constant 2015 US$)","NE.CON.TOTL.KD","","","","","","","","","","","","","","","","","","","","","25208805102.0177","26767342566.8783","28121983729.8799","29231973915.7787","30266967604.2848","31036311842.5527","31960005975.4024","33776606613.5797","35405188468.6012","34365342820.7889","36330596969.5081","28379701428.2476","27500466560.8706","26520845103.1512","25332114089.7756","30158060530.492","29481234980.73","20066832917.7057","20980999206.5291","21774629335.7515","23392488097.937","24829261505.3276","25958952051.689","27734135116.7536","30063986057.5833","31827311834.0512","34349993765.586","37380518589.8889","38568658467.4677","36796258218.0911","37647488097.937","38427140671.0496","39430953865.3367","38246013375.6518","38657171276.3546","39664541487.1911","40543676037.1798","41714548288.37","43400658580.8207","45616058150.0794","46257240988.438","49345197234.1873",
