"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"American Samoa","ASM","Exports of goods and services (constant 2015 US$)","NE.EXP.GNFS.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","771192592.592592","756133333.333333","632488888.888889","664985185.185185","620600000","628525925.925926","626148148.148148","492200000","413733333.333333","365385185.185185","382822222.222222","381237037.037037","398674074.074074","428000000","423244444.444444","330511111.111111","374896296.296296","355081481.481482","391540740.740741","285333333.333333",
"Antigua and Barbuda","ATG","Exports of goods and services (constant 2015 US$)","NE.EXP.GNFS.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1016370370.37037","","","","","","",
"Australia","AUS","Exports of goods and services (constant 2015 US$)","NE.EXP.GNFS.KD","14470773875.4584","15192827128.7282","17250485147.4379","16866208147.7103","19647856950.7809","19596189455.0192","19881006525.4055","22060729002.8523","23120558509.6642","24627957698.5118","28672230929.259","31445483764.2683","33800229883.6078","34480949140.2682","32396811529.9806","35565966551.2639","36955822187.2537","39596031220.6766","40487941366.263","43360654130.6136","46424536629.2825","44171187970.3753","45214225541.0646","45449312646.7803","48917493299.7845","56469989492.7512","58606440442.4975","64481680554.2999","69930663826.0683","70655946297.8232","73955561745.9048","82280487000.5089","90059674331.1301","96733823096.1478","105912553718.214","110586524553.557","121601388806.254","134836017845.614","141010283589.137","143711201930.08","157926867545.215","171574836550.669","170732656369.753","171593566017.882","173874040112.064","179889428306.121","185264785396.429","192965825639.71","200721762597.238","205575277980.353","215249370718.035","217073879162.12","227070247904.615","239128795571.699","253656403692.495","271042516016.308","288399565373.754","304253736448.232","316772124827.595","329140677469.249","323697506790.754","296607592919.197",
"Austria","AUT","Exports of goods and services (constant 2015 US$)","NE.EXP.GNFS.KD","","","","","","","","","","","22278823569.4812","23706469310.2609","26111513803.7273","27532168503.7832","30481145034.8012","29749842898.3324","33040000190.782","33831081772.2847","36784051440.1961","40949555599.1656","42457141743.7148","44530512891.7093","44492698473.3711","45197441090.264","48958000781.9777","53341897020.2863","51180353992.3867","52936776140.4808","57307733239.4589","63350301321.1718","68780828807.0293","70801125296.3878","71735265250.982","70032871942.6097","74016403782.875","79349577060.1445","83030197457.6015","92186619014.4179","99424637307.6992","105821578259.113","120133506794.023","127066409042.383","132512752634.496","133217049227.207","144755073489.137","154403153493.176","166101003087","178677853173.293","182556355194.793","156326460803.687","176853802885.977","187350715726.988","190044246886.172","191261770856.699","196784648648.008","202784894360.508","208844321490.594","219073531061.355","230461893129.469","239645220373.883","214118690584.66","234658414830.808",
"Azerbaijan","AZE","Exports of goods and services (constant 2015 US$)","NE.EXP.GNFS.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20059340230.3338","","","","","","",
"Burundi","BDI","Exports of goods and services (constant 2015 US$)","NE.EXP.GNFS.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69521595.9851631","58611696.0277146","61165076.9341681","56514441.8519067","70871405.8487846","67933857.2549044","108926065.090907","98364353.4528451","115040251.512481","127136130.265249","141642102.085106","229158001.905962","147583143.633606","215351278.771849","211990618.319868","294269904.238085","234835993.621307","231058540.367413","199192403.223542","210480125.091228","278167424.745921","308765980.533894","307280754.414334","261495922.006589","309088179.811794",
"Belgium","BEL","Exports of goods and services (constant 2015 US$)","NE.EXP.GNFS.KD","","","","","","","","","","","56901517270.4305","59464857077.5152","66039566403.291","75366508996.2676","78159203979.5637","71683407727.9871","80906923748.3254","82638278671.6817","84527060160.0629","90440719486.5785","90304736477.1906","93367418108.2656","95961926351.4738","98482456713.1867","104856175559.8","105204927637.197","108084779296.104","113452399620.088","124381038350.51","134520228702.404","140673070160.803","144971182190.947","150287017110.275","149622273542.602","162082254198.073","170173314820.234","178639674834.727","195593586559.922","203686817389.297","213564144946.797","240039563445.469","240952137798.008","249261057933.32","253287480213.398","268974550120.078","283797975192.695","299976226456.055","316283070263.438","322000279237.539","285693799868.906","315517617320.195","330130123992.305","328522883618.945","329681436979.336","346814202182.5","359721498493.008","382030917989.961","402931810872.265","407272669105.547","417002209546.015","396046173873.047","440637164093.398",
"Benin","BEN","Exports of goods and services (constant 2015 US$)","NE.EXP.GNFS.KD","88037515.7301638","68934917.0898839","50663003.8093082","55646408.457852","83054127.5410372","122924038.678509","135382905.191358","149502468.971109","167774971.132116","235051246.506442","266612154.847178","341362719.984509","357312543.663873","332269154.366059","329212971.654916","331375083.626586","319523551.097867","342107790.103221","375198953.466121","509883157.130751","565183754.347558","617134835.229086","457270148.666708","331709645.409912","455111528.253149","581031716.476811","450940224.761666","422877126.709624","345895078.933331","352656992.379295","616946150.599907","723640631.029245","875446744.991898","993600960.035958","1017938919.93949","1000047050.01186","972220628.349131","1064221203.92232","1182195665.75723","1345201302.53479","1203033053.34959","1260637055.80118","1386999173.55853","1411935281.64013","1338386379.19388","1472663485.63628","1468317539.15253","1868212358.22791","2056764575.27704","1956709506.16753","2050588298.46713","1851462005.63206","2297584683.85377","2819876654.65487","3523229759.67452","2815204783.12488","3194730426.41925","3418361556.2686","3589279634.08203","3898480205.25439","2925224402.36103","4489568856.73483",
"Burkina Faso","BFA","Exports of goods and services (constant 2015 US$)","NE.EXP.GNFS.KD","","","","","","113861492.30132","117660684.255741","117660684.255741","151816723.085825","144222564.560208","163206273.590323","165287209.879304","222280436.094211","205184516.933613","220377896.750014","216580817.192894","199484060.633442","208983296.30486","305128718.629892","378447078.499969","341028275.100104","385901539.617704","332054967.146287","260260078.970021","296155860.78557","292949470.299725","307757694.629521","386021837.355384","373670367.518099","306012552.271885","388347993.992677","386743398.853575","336974500.84293","360084095.257249","497635334.178942","497138043.614496","404126300.443648","432739592.602785","587141867.625421","539153161.21112","561637274.600621","553730645.892157","543329434.109643","590999088.651324","682953721.315055","727621550.622223","871545495.801251","933250383.745789","1010290806.322","1348748828.54991","1931051251.18464","2385055452.04873","2389768805.4888","2854634624.78838","3041967314.41546","3089098202.89416","3169923734.59456","3440797081.65451","3963719335.05376","3887351031.95691","","",
"Bangladesh","BGD","Exports of goods and services (constant 2015 US$)","NE.EXP.GNFS.KD","803974740.177912","711508755.889555","859477984.777042","900996004.740829","934716754.614697","886206154.022798","1013221168.7633","894003353.691474","929765143.583403","972513640.971762","1074451024.2594","777708055.4231","599697722.766723","1113910321.43096","785972084.555078","881660284.373704","1100028707.57074","1380033861.42808","1274201404.06301","1484501883.73238","1498680109.5216","1022594301.95982","977030083.930696","1067267897.83143","1057186056.98022","1140690771.40766","1127580817.09881","1149009179.82364","1271719071.67181","1384917119.25335","1631244400.38443","1580813694.04545","1926151802.26915","2241904250.10608","2324369763.35095","3038511611.53688","3283883412.37012","3754062579.76975","4214594037.36197","4309451451.24094","4929933025.3346","5664684802.78069","5655389198.96111","5559451992.4293","10319082977.0873","14756419406.1116","18515810527.4695","20918348608.3084","22399495142.6645","22405880002.2161","22616838572.2587","29252421055.9428","32918410134.3597","33725531476.2941","34805136081.6366","33820154152.8479","34563098269.1634","33926003309.2464","35997497830.7661","40121541590.2997","33099311989.3954","36141620726.1235",
"Bulgaria","BGR","Exports of goods and services (constant 2015 US$)","NE.EXP.GNFS.KD","","","","","","","","","","","","","","","","","","","","","57001711244.6157","60367648141.0111","59156470817.275","62955373821.129","68780643844.9331","77433712055.0895","77941746729.7665","85960848339.3788","75002636108.5921","64478250345.7266","18469887889.9342","10062421729.7665","10636188959.4196","10891127238.7214","11192632112.8996","14506168102.4711","18851042847.4269","20188888007.2546","16682421219.6781","13725765132.623","11370324756.2911","11508465200.6348","12527847993.6522","13337459759.6917","16606191339.8322","18115081614.1465","19503271367.037","23330328723.6454","23908421559.737","21107412151.4396","23439008728.1796","26386718997.9596","26922728406.2571","29514557923.3734","30436168102.4711","32398958286.1029","35190699954.6588","37214928587.6219","37861233847.2002","39366023010.6552","35285223872.1378","39167921673.09",
"Bahrain","BHR","Exports of goods and services (constant 2015 US$)","NE.EXP.GNFS.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13287664630.857","12961123400.7682","14748486616.1978","14899223742.2339","15590809286.9577","16326390988.5708","16646072325.4988","16721324837.6927","16834874121.8564","16893698995.165","17337993128.159","22606906857.1906","27310059923.95","27128788536.6262","26025274144.3104","25805319148.9362","25093953385.9626","26019858439.1833","26868525221.6635","26970856259.4927","26283551700.7264","",
